id,purpose,description,sentiment,sentiment_score,sentiment_confidence,text_length,word_count,sentence_count,has_positive_words,has_negative_words,has_financial_terms
1,debt_consolidation,Trying to consolidate debts but my credit score has dropped due to missed payments.,NEGATIVE,0.4375,0.6781237583520879,83,14,2,0,0,1
2,debt_consolidation,Need to consolidate my current debts. I have several credit accounts that I want to combine. I have standard credit history and stable employment. I plan to manage this loan responsibly. I have considered the long-term implications of this financial decision.,NEUTRAL,0.52,0.7476726368898446,259,41,6,1,0,1
3,debt_consolidation,I want to consolidate my existing debts into one loan.,NEUTRAL,0.5,0.810706555167493,54,10,2,0,0,1
4,education,Need loan for education.,NEUTRAL,0.5,0.6771542177142438,24,4,2,0,0,0
5,education,Pursuing advanced degree to advance my career. I have excellent academic record and stable job. My employment is secure and I have strong payment history. I have carefully considered this financial decision.,POSITIVE,0.6523809523809524,0.7190876807812971,207,32,5,1,0,1
6,home_improvement,Want to upgrade my home's energy efficiency with new windows and insulation.,POSITIVE,0.5681818181818181,0.732974555223068,76,12,2,0,0,0
7,business,Investing in new equipment for my growing business. I have stable revenue and good credit history. I have stable income and good credit score with no late payments. I am confident in my ability to repay this loan.,POSITIVE,0.7186363636363636,0.8554061253428362,213,38,5,1,0,1
8,education,Looking to finance my education.,NEUTRAL,0.5,0.7026123984924825,32,5,2,0,0,0
9,education,Need loan for education. I have different education-related costs to address. My employment is stable and I have typical payment history. I plan to manage this loan responsibly.,NEUTRAL,0.5055555555555555,0.6160385342794817,177,28,5,1,0,1
10,home_improvement,Planning home improvements to update the property. I have various projects in mind. My employment is stable and I have typical payment history. I plan to manage this loan responsibly.,NEUTRAL,0.5055555555555555,0.7330441787637081,183,30,5,1,0,1
11,medical,Need medical procedure that's well-planned. I have good health insurance and financial stability. My employment is secure and I have strong payment history. I am committed to maintaining my good credit standing. I have compared different lenders and found this to be the most suitable option.,POSITIVE,0.6824074074074074,0.6733274607700207,292,46,6,1,0,1
12,business,Need capital for business development. I have different projects that require financing. I have a regular income and standard credit history. I am committed to meeting my financial commitments. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.5416666666666666,0.7869489569603978,281,43,6,1,0,1
13,home_improvement,Want to make some upgrades to my house.,NEUTRAL,0.5,0.9463331727228084,39,8,2,0,0,0
14,education,Need education funding but my financial situation is tight.,NEGATIVE,0.45535714285714285,0.6801668251874365,59,9,2,0,0,1
