id,purpose,description,sentiment,sentiment_score,sentiment_confidence,text_length,word_count,sentence_count,has_positive_words,has_negative_words,has_financial_terms,target_5%,default_prob_5%,target_10%,default_prob_10%,target_15%,default_prob_15%
1,debt_consolidation,Trying to consolidate debts but my credit score has dropped due to missed payments.,NEGATIVE,0.4375,0.6781237583520879,83,14,2,0,0,1,0,0.17189609559801444,0,0.21701522777820598,0,0.2742619308680324
2,debt_consolidation,Need to consolidate my current debts. I have several credit accounts that I want to combine. I have standard credit history and stable employment. I plan to manage this loan responsibly. I have considered the long-term implications of this financial decision.,NEUTRAL,0.52,0.7476726368898446,259,41,6,1,0,1,0,0.20365522575634715,1,0.2492062081998825,1,0.29632716170949736
3,debt_consolidation,I want to consolidate my existing debts into one loan.,NEUTRAL,0.5,0.810706555167493,54,10,2,0,0,1,0,0.15282431158715362,0,0.20209587834198295,0,0.2504087419853438
4,education,Need loan for education.,NEUTRAL,0.5,0.6771542177142438,24,4,2,0,0,0,0,0.10087206492775526,0,0.13472260283474988,0,0.1923105835353177
5,education,Pursuing advanced degree to advance my career. I have excellent academic record and stable job. My employment is secure and I have strong payment history. I have carefully considered this financial decision.,POSITIVE,0.6523809523809524,0.7190876807812971,207,32,5,1,0,1,0,0.14899033665361452,0,0.19882190636438965,1,0.2536091154207777
6,home_improvement,Want to upgrade my home's energy efficiency with new windows and insulation.,POSITIVE,0.5681818181818181,0.732974555223068,76,12,2,0,0,0,0,0.08514255138352003,0,0.12354508109002295,0,0.19735630998499543
7,business,Investing in new equipment for my growing business. I have stable revenue and good credit history. I have stable income and good credit score with no late payments. I am confident in my ability to repay this loan.,POSITIVE,0.7186363636363636,0.8554061253428362,213,38,5,1,0,1,0,0.1495924870252257,0,0.18501441083089742,0,0.24523876583769835
8,education,Looking to finance my education.,NEUTRAL,0.5,0.7026123984924825,32,5,2,0,0,0,0,0.09868492567591489,0,0.14046208233791324,0,0.19149686475730077
9,education,Need loan for education. I have different education-related costs to address. My employment is stable and I have typical payment history. I plan to manage this loan responsibly.,NEUTRAL,0.5055555555555555,0.6160385342794817,177,28,5,1,0,1,0,0.16389852405140226,0,0.22172951701922347,0,0.26585379834062367
10,home_improvement,Planning home improvements to update the property. I have various projects in mind. My employment is stable and I have typical payment history. I plan to manage this loan responsibly.,NEUTRAL,0.5055555555555555,0.7330441787637081,183,30,5,1,0,1,0,0.15881858330932233,0,0.20954632321341388,0,0.2631154243569062
11,medical,Need medical procedure that's well-planned. I have good health insurance and financial stability. My employment is secure and I have strong payment history. I am committed to maintaining my good credit standing. I have compared different lenders and found this to be the most suitable option.,POSITIVE,0.6824074074074074,0.6733274607700207,292,46,6,1,0,1,0,0.1682552512094262,0,0.21780266625427727,0,0.2635289550515669
12,business,Need capital for business development. I have different projects that require financing. I have a regular income and standard credit history. I am committed to meeting my financial commitments. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.5416666666666666,0.7869489569603978,281,43,6,1,0,1,0,0.18338237209294078,0,0.23935786983644083,0,0.2826357325333477
13,home_improvement,Want to make some upgrades to my house.,NEUTRAL,0.5,0.9463331727228084,39,8,2,0,0,0,0,0.08408314790337401,0,0.13731145136244582,0,0.18642315620557737
14,education,Need education funding but my financial situation is tight.,NEGATIVE,0.4553571428571428,0.6801668251874365,59,9,2,0,0,1,0,0.12982669084439086,0,0.18858976782580625,0,0.2458647483337068
15,debt_consolidation,Looking to consolidate multiple credit cards with high interest rates. I have excellent payment history and want to simplify my finances. I have stable income and good credit score with no late payments. I am confident in my ability to repay this loan.,POSITIVE,0.7091666666666666,0.6738439952552142,252,43,5,1,0,1,0,0.16842353093233056,1,0.22012622937382728,1,0.2800929596062638
16,education,Investing in professional certification to increase earning potential. I have strong credit and good income. My employment is secure and I have strong payment history. I have carefully considered this financial decision. I have carefully planned my budget to accommodate this loan payment.,POSITIVE,0.6037037037037036,0.909639103860346,289,43,6,1,0,1,0,0.1727402247210327,1,0.22451210081690698,0,0.272518187791151
17,medical,Need urgent medical treatment but struggling financially.,NEGATIVE,0.5,0.8607461437320623,57,7,2,0,1,1,0,0.12262092152368664,0,0.17719561509949808,0,0.2303677536319907
18,education,Need loan for education. I have different education-related costs to address. I have standard credit history and stable employment. I will maintain my payment schedule.,NEUTRAL,0.5,0.9142380092608668,168,25,5,1,0,1,1,0.15938647647775905,0,0.20165296786063153,1,0.25988670364846556
19,medical,Emergency medical expenses that insurance won't cover. My income has been reduced due to illness. I've been struggling financially and have missed some payments. I am facing financial challenges.,NEGATIVE,0.484375,0.7727305422113708,195,29,5,0,1,1,0,0.16584901877816652,0,0.22222437312042242,0,0.2721432479908872
