,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,annual_inc_joint,dti_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,deferral_term,hardship_amount,hardship_length,hardship_dpd,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,settlement_amount,settlement_percentage,settlement_term,text_length,word_count,sentence_count,avg_word_length,sentiment_score,sentiment_confidence,financial_keyword_count,positive_word_count,negative_word_count,sentiment_balance,has_positive_words,has_negative_words,has_financial_terms,target
id,1.0,,0.037435896781205374,0.03743683996811617,0.03756967176786437,-0.06378325553210461,0.025352600999496773,0.03149885525559279,0.04161328390461977,-0.022898291915075714,0.14074759874037757,0.14074493031950197,-0.12919613040669667,0.02159131223751273,0.03889511818730788,-0.0016530040875388753,-0.029030331152818074,-0.01188696182990504,-0.18965726267609972,-0.09263498867138217,0.5559597658481896,0.5559125319578853,-0.416180929688926,-0.4161156767111968,-0.3961490915421317,-0.27586331337739434,-0.02022295047513199,-0.10599591550764771,-0.0945843926343397,-0.16097634851619258,0.1477287588396905,0.1270383002848716,0.015743246648876583,0.02478010989170657,,0.055732174127762886,0.012029748079132587,-0.02358829205254114,0.004881850049306438,0.011593310880773334,-0.04757722135725086,0.12791828656648507,0.33331314007018364,0.1685865260244655,0.14797123107199742,0.14359730025973694,-0.07624211933842577,0.07718678754040113,0.12383216886344774,0.10042826423426567,-0.07462348323414598,0.07627803540944243,0.3343303212214257,0.2660431544333727,0.19635213037184912,0.017832776336051192,0.004175309064511526,0.14484151237551482,-0.19987171651786279,-0.005396567698436982,-0.0024598912058174153,-0.030634287149131263,-0.02800723326738883,0.03697585135124065,0.01441615566212646,-0.10123466241347144,0.0030237121972682183,-0.015102255848647154,0.028617929540440245,0.0032986501496581806,0.007608063369331638,-0.016841706098062983,-0.04717021941481029,0.018244082139034296,-0.12673026588012898,-0.005596282097894838,-0.00832884219811968,-0.10508247266514156,-0.051407092494834924,-0.0005680378412498047,-0.012935915237488943,-0.018355082605362973,-0.007685222116897937,0.01053857908374972,-0.012847189724650947,-0.19329573043857592,0.004724709706374853,-0.024775366916355325,0.0320869300163518,0.03550532657880543,0.09621152228495625,0.06328792551764795,0.0633112096503226,0.0055115595638225694,0.0055115595638225694,0.12867950285921687,0.0708316173838916,0.052355006231675515,-0.025877965750125097,0.07000041174600499,0.04817384476493572,0.0226256580901117,0.03604075766456084,0.011253312616289377,,0.011468511180722365,,-0.0004984072476366947,0.010182061111586533,0.013277053635729967,0.005528426645239954,-0.006705295052064711,-0.007943787907634628,0.037310065233781456,-0.2847988149438612,-0.2790694391343611,-0.23922573714538964,-0.3393368055305104,-0.001556914009603908,0.007410443580202733,-0.2620569555129507,-0.10620990332109996,-0.17122640959680493,0.0991070248916037,-0.11575777956933571,-0.18626577396635374,-0.313789445797374,-0.14366500809792174
member_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loan_amnt,0.037435896781205374,,1.0,0.9999939615668717,0.9999887336466748,0.0912093184132087,0.9452780569073546,0.27361475589728507,0.03900509388555603,-0.008218882719935532,0.11608537833196521,0.11608457803213365,-0.02394524008373395,-0.01095557855390768,0.012630287814661745,0.1870180855154571,-0.06258896638011216,0.3232615878705331,0.09708927893355679,0.20353902508629004,0.46951524561960606,0.46953535574351535,0.6596964468509013,0.6597472395327247,0.5827461424594704,0.5894914165071369,0.07059393843595971,0.12732906447821815,0.12416396388375758,0.3149265581448347,0.09051925654327884,0.0743477928594366,-0.0241438165418603,-0.002249677384897606,,0.12074003970962714,0.017864119192033893,-0.0014732830472818873,-0.01548466160142803,0.3124514735814018,-0.018486209703183935,0.030581857465146238,0.004829290898482665,0.021241348546089035,-0.002445140010174082,0.12411413336314034,-0.06930305701609528,-0.03788347959499349,-0.0246564534584484,0.24058481121956454,-0.0023208283610531514,0.35177019330670517,0.008870790586673474,0.06511171504488078,0.01301008307994143,0.002120553056278941,0.22327490164961233,0.2089694147596607,0.04580181768613636,-0.0021027980977771014,0.007903425871011584,0.12072086252553205,0.16753763323742635,0.05243084401357249,0.028515643252870572,0.21977236835725011,0.03457962716734711,-0.017041737475627334,0.0053240319079608,-0.017077679095360405,-0.05009222447013034,0.19643822560212282,0.15513518362139042,0.21650842666221146,0.19857004341199486,0.08294463886194649,0.16845358262230015,0.16985246557956,0.15411630454320632,0.1874641007260708,0.0011033458965024655,0.0007105031759669635,-0.021984611633592277,-0.02853942186452062,0.08604199030226875,0.016945490831627417,-0.0887696697030615,-0.0027943255688962034,0.33684702100723923,0.2768978039799427,0.3658860835579964,0.21054762520092693,0.1180114814201804,0.05035026010413142,0.05035026010413142,0.04664692421231429,0.08042287475852665,0.08013731282138968,-0.0008966107111155366,0.04689750647127178,0.07358205543753156,0.004950807142572976,0.002029228858527967,0.013866790220254938,,0.05315974057432065,,0.00566437360916467,0.04672572460133833,0.06310206929197815,0.03796780563363006,0.09762165935849297,-0.003676019648444759,0.025333563033912522,-0.004932922293552388,-0.005694882062846697,-0.0024434279727238014,-0.012105063725285069,0.0021737256109684673,-0.00236247811120408,-0.0008192170100759707,-0.004995958043257599,0.014596148555516043,-0.016715603586806023,-0.004367696196845207,0.014800955486600697,-0.0057465275626792335,0.032091911234408396
funded_amnt,0.03743683996811617,,0.9999939615668717,1.0,0.9999947671049753,0.09122249484190971,0.9452836238824874,0.27361786802096066,0.039003706949507916,-0.008214856154908554,0.11608295612368234,0.11608215597597155,-0.023937949949481112,-0.010973854646102146,0.012629962874145284,0.187021355997779,-0.06258533412970387,0.3232614764115856,0.09708426845419785,0.2035270601902428,0.46952030031217273,0.4695404095581451,0.6596983251853676,0.6597491133618271,0.5827465096801726,0.5894965990095712,0.07059531725534074,0.1273311980224127,0.12416603053636725,0.31493226286014697,0.09051053404740507,0.07434128284516216,-0.02414243797872657,-0.002263817881944957,,0.12074056059722002,0.017881639331764808,-0.0014725967392271182,-0.015483535920233065,0.31245759116595523,-0.018474394316726036,0.030588764366588077,0.004821335843502333,0.021244437002812918,-0.002441892695690637,0.12412313114339227,-0.06929134960781128,-0.03788178979179053,-0.024653916340252748,0.2405803644701101,-0.0023225450075095564,0.35177240467811544,0.008876358982667244,0.065111370754297,0.013013816718877655,0.0021259102333639215,0.22327945724016543,0.20897415485927745,0.04579729931682691,-0.002101881124300405,0.007903631040989382,0.12072375187138083,0.1675311699361584,0.052433389379164676,0.02851351080444651,0.2197462502007306,0.03458474759490359,-0.017041181956237255,0.005313778287597473,-0.017076901538078344,-0.05009635240525049,0.19644623579291895,0.1551438485400625,0.2165075277315733,0.1985453921207498,0.08295437738903771,0.16845413513228605,0.1698328582698424,0.1541250354594965,0.18746729920044128,0.0011036350306054083,0.0007110488972756918,-0.02198268625964258,-0.028538986762411955,0.08603803046163368,0.016937995255163926,-0.0887656483328621,-0.002793111491443372,0.3368461592235644,0.2769049748282127,0.3658903332005841,0.2105574869850558,0.1180120833498221,0.05035025572820011,0.05035025572820011,0.04664827438944766,0.08042359625651027,0.08013785255121186,-0.0008968388419916706,0.046898224007554966,0.07358255399609495,0.004951040872682652,0.00202960721758361,0.01386689441457549,,0.053159937698490284,,0.00566433254123174,0.04672589451870325,0.0631022306787407,0.037968035105637385,0.09762198654460902,-0.003675479185317856,0.025333413752652835,-0.004931128434267895,-0.005693124580971827,-0.0024419234800211803,-0.012102913945117335,0.0021610099219283242,-0.002352618653057787,-0.0008175633615952518,-0.0049952907857132274,0.014597226700656125,-0.016716228509810416,-0.004366969333844804,0.014802129978617861,-0.005744541962616939,0.03209623889131317
funded_amnt_inv,0.03756967176786437,,0.9999887336466748,0.9999947671049753,1.0,0.09122406330052481,0.9452114945860239,0.27363539749215804,0.03897348690133232,-0.008264438169533457,0.11617874345711064,0.11617794486380414,-0.023961985645522703,-0.010957412801613628,0.012647510879636562,0.18699668337952347,-0.06259090785472175,0.3232256151592318,0.0970182480719667,0.20349819503057087,0.46970224943166616,0.4697254170376172,0.6595570557775228,0.6596159965191685,0.582611919538671,0.5894060546955314,0.07056083407799693,0.12728621923351624,0.12411949203934733,0.31488884416890695,0.0905605033040166,0.0743830018163041,-0.024151914651683825,-0.0022451417965580183,,0.1207856285642901,0.017888330517743016,-0.0015055296535688943,-0.015493668006031275,0.3124679668230735,-0.018477773608046203,0.030590276331360498,0.004865146919742172,0.021268259987508854,-0.0024227023147410376,0.1241455784705348,-0.06929156668520382,-0.03787552634208499,-0.02464799360101673,0.2406186608993929,-0.0023353289908976875,0.3517715319915201,0.008930534961381999,0.0651598990308766,0.013031045131975989,0.00211605616046124,0.22330599885886418,0.2090182649201544,0.045735089889802134,-0.002112423365990756,0.007905371266514846,0.12071827853329901,0.16752996239377949,0.05243578851815769,0.028514904692840664,0.21974176445807866,0.03458878680347538,-0.01702840940990858,0.00531773080306267,-0.0170674056720321,-0.050109076250506035,0.19642128549514992,0.15509563454257055,0.21650364677715228,0.1985181717418031,0.08294487397648691,0.16843119241869384,0.1698000995307435,0.1540767130111886,0.18744352963162106,0.0010728118210409328,0.0006801702594555531,-0.02203049723763378,-0.02853812190250702,0.08605505112845344,0.01688498381983442,-0.08876973789705192,-0.0027972049832659944,0.3368616842406888,0.2768951633355764,0.36591553255478904,0.2105602595354104,0.11805376548713417,0.0503757888510529,0.0503757888510529,0.04668037511062431,0.08046563657421732,0.08017741095863135,-0.0009086414676080639,0.046926108336525836,0.07361944133899022,0.00496136681159633,0.0020399363169006676,0.013864215812025621,,0.05316786942855404,,0.005661227480119318,0.046727479122614,0.06310214240140849,0.037985813953820315,0.09760102283176612,-0.0036875820360727286,0.025337024850327194,-0.005057666847650101,-0.0058184221014104835,-0.0025496274969832896,-0.012226975025606136,0.0021867161757954828,-0.002349059215131317,-0.0009273696816370541,-0.00504689296409927,0.014518705393339534,-0.016672484065740196,-0.004425717884920583,0.014719288816144455,-0.005864776401840365,0.032051131147357935
int_rate,-0.06378325553210461,,0.0912093184132087,0.09122249484190971,0.09122406330052481,1.0,0.11898460677218926,-0.06967703817518135,0.12675434307721833,0.05378161356305741,-0.40699677599455425,-0.4069927094157359,0.1960862367854847,-0.016363951679670332,-0.015571921414532387,-0.011442972767020247,0.044601108509391085,-0.02911512029696609,0.2542273142707889,-0.04088831370073028,0.008873778030955477,0.008895912060783715,0.09573730344310775,0.0957404465330623,-0.03133937637668312,0.40874450494991005,0.06708650382863816,0.1474893839755414,0.13996952539227014,0.07951258382596549,-0.34657113651687677,-0.26768869164013426,0.01997961441309217,-0.014698135221639189,,-0.03299802301540668,0.05770040444890956,0.01691041778123378,0.008487811200134227,-0.08454390214323997,0.1175576428452603,0.01946138570794829,0.10799361500906643,0.11958657876122811,-0.08139949599321508,0.017384915197296607,0.11084085903209896,0.09699812446068173,0.09875409607002282,-0.04041930051627067,0.2398775901732252,-0.18812324523833826,0.09290752647262349,-0.0027111953055602646,0.12483915243123238,0.17446537583574112,-0.08251554281460631,-0.29426600604414643,0.2724077651520152,0.018952071209651228,0.008720954652673685,-0.06210313462091861,-0.1310784676382318,-0.09401642658747465,-0.11417165076890065,-0.09040718539988828,-0.07505983643770159,-0.001315590052470165,-0.12908972746608907,-0.003468478206774292,0.050299935594673856,0.027542459559210367,0.08482769564327082,-0.055040473724782,-0.08041211336927902,0.017608176572111327,-0.01314796308089174,-0.05487667312463654,0.0849069641673245,-0.011860031127216656,0.009180826472356966,0.013317099978646217,0.032452505911982704,0.18314926629764286,-0.07535756538049475,0.26955959360294557,0.04960541781371932,0.01080147691554384,-0.12137933133984583,0.005294350120411874,-0.2290368952138146,-0.002711691790652586,0.0052354696561004565,-0.10023566333451953,-0.10023566333451953,0.034769709984608335,-0.01805104086592372,-0.004748689580023417,0.06331989135151078,0.009177322459806476,-0.011120143420069764,0.018174075354973333,0.02284858967462415,-0.013959925974619609,,0.05021352964003024,,0.0037499631615684342,0.04093029841306452,0.023037662374257292,0.01961663019391631,0.0497251940341267,0.02232133158898209,0.004783317208256253,0.025933514731500396,0.02557951570228199,0.020461075795166296,0.03349889993956259,0.0009152314629207241,-0.00319981362655868,0.021391176641985563,0.0071436325990909405,0.02031898090885911,-0.014973575535270019,0.0071522304489401905,0.02199806522375258,0.02772924513526742,0.21203112927270382
installment,0.025352600999496773,,0.9452780569073546,0.9452836238824874,0.9452114945860239,0.11898460677218926,1.0,0.26409534995668077,0.038794440432567925,0.004765638201126691,0.05920846273544635,0.05920753563837125,0.00205744047665889,-0.016075167390740008,0.006864875829190125,0.17460567804968963,-0.05192508496641011,0.3089231896524071,0.119150179245773,0.1807119471044892,0.38344919353757495,0.38344203541508226,0.6581940686692064,0.6582065887301571,0.6021246117433229,0.523879138662806,0.07998231672185421,0.1263319006518332,0.12257794191898926,0.30465389598425074,0.05905948666865888,0.05060046994443317,-0.019592576855284843,-0.0059223559434188715,,0.10596583190054511,0.023273507708873122,0.00017168434680751577,-0.01114436380374219,0.28015996319103387,-0.006160775766108804,0.027555547996986954,0.013812990349617854,0.02747382321180372,-0.004124454141832155,0.1156159412880033,-0.0642375084967443,-0.01954364407585037,-0.003972618064861581,0.22894978016902118,0.019434749333882236,0.3185019947298501,0.01764871736220683,0.05440970256662491,0.026220588873007652,0.019837367287329176,0.19643303142720558,0.17150059915355487,0.07151330429491014,0.0015037684122795828,0.007495065310489543,0.09668442687856714,0.142409509310929,0.03376834035418327,0.014509641861881051,0.18538540132951556,0.0164635255270023,-0.01688605029807583,-0.008114749198223248,-0.018538080971726885,-0.03919932794086013,0.1982948018532489,0.16049426790123494,0.2081807922054961,0.18867720344768327,0.06587608516284862,0.16305940656952014,0.15934625790793366,0.1595120083472835,0.17497785271672384,0.001559372555075315,0.0023974485039657714,-0.014858175849477762,-0.00748028300803942,0.0660398864245571,0.03982931340588486,-0.08058599359553682,0.0030682496871841554,0.3012556231218659,0.2594985695632741,0.32991782323249685,0.19349556881682392,0.1050542832127561,0.029574984207029514,0.029574984207029514,0.039287217466615586,0.06305063096973286,0.06882358939978687,0.007233923971687605,0.037743318496983744,0.063847854653109,0.005588803828650672,0.003686130792395817,0.009116836148373367,,0.056931169788897305,,0.006068169562873606,0.05112689025115782,0.0640067884512681,0.03990955740519568,0.09396085533023327,-0.0009952442678698578,0.0226228037132048,0.007765859070261604,0.006800045562348633,0.008184268102921622,0.002525874279502525,-0.0007453554586486611,-0.002964213951595981,0.01144143923803752,-0.0004361901529602577,0.022553329022860145,-0.021542513913266132,0.0006314177518724079,0.023355279296019903,0.00837022283189803,0.038687272169575626
annual_inc,0.03149885525559279,,0.27361475589728507,0.27361786802096066,0.27363539749215804,-0.06967703817518135,0.26409534995668077,1.0,-0.11767340733331949,0.03717920836110788,0.05655250251062642,0.05655199830074515,0.02832917008709897,-0.0225041498496812,-0.016871581385494928,0.1257057959493875,-0.010193494324998801,0.25763504127389586,0.03414637107790359,0.1525883380777421,0.11565690545357478,0.11566771800743536,0.19154696070623542,0.19158040488643438,0.18965573118601994,0.11363491630548461,0.02324738136908214,0.015745158535221508,0.015553348004323635,0.10445212961981686,0.05195675523721791,0.04815918877042321,-0.005872811872679475,-0.009546672994713202,,0.07252073657398093,-0.017854893995955672,0.011804379278395416,-0.00127281751977168,0.3530262702711223,0.025458597366764726,0.05930111087019385,0.06919411646723538,0.0873882912818734,-0.04694831510820471,0.15927737356414387,-0.034208550610476306,-0.0026460264092672938,-0.003351721070031935,0.17391703382476992,0.006637452978318004,0.26371675508785786,0.058386243982277417,0.04175090258647231,0.0586378465819338,0.056137741592146115,0.2715695793034386,0.14104387451065645,0.000620733975406369,0.0057122913882225205,0.0062534771545469285,0.09902493896565054,0.12274355411408597,0.03634784582891776,-0.028511818406275775,0.18336807828059729,0.02179465189837461,-0.012872164231373443,-0.03061162261979409,-0.009905775553918738,0.01405197708899251,0.10086596724965839,0.07426476999230815,0.11648524322114329,0.11771945047901661,0.09147407973411555,0.07682643638462992,0.09278579834451364,0.07311750463189672,0.1256410115408699,0.0014090274057019557,0.013382769074205722,0.0037088688500550807,0.04661280184035943,-0.014292718715441926,-0.008667504989805385,-0.04333303538460051,0.023583687669967417,0.3659742139581585,0.2838692945363652,0.24114329919583555,0.24138468329584237,0.029470157558633487,0.012395163478993929,0.012395163478993929,-0.03187842187332531,-0.0029140325010771646,0.002784747875352368,0.0068362541463738435,-0.012876089440749514,0.00445424495010906,-0.00703875965245975,-0.012961479650521635,0.0021667566074641174,,0.006328800271190389,,-0.0011735899788729801,0.0038102400905837166,0.013020923541039323,0.005306637325563594,0.01909138029122403,-0.006586020933531339,0.006413668407264059,-0.009910922281454173,-0.01079595810655631,-0.008669467808222576,-0.009427999020588464,0.001548471120181497,0.000920507090832867,-0.010637354102701039,-0.006871509474065119,-0.001156637781999411,-0.002951733973958187,-0.006844765406445787,-0.0005325264831069376,-0.01079365956074933,-0.0311398060449435
dti,0.04161328390461977,,0.03900509388555603,0.039003706949507916,0.03897348690133232,0.12675434307721833,0.038794440432567925,-0.11767340733331949,1.0,-0.015120058898802179,-0.022139399760013407,-0.022143117388439538,-0.0018367616887802422,0.003448248629894747,0.023052854082471697,0.18253510707729192,-0.029692039344908223,0.09851749126392556,0.11458971618421576,0.1459439230482315,0.06076499885958688,0.06076185907102252,-0.0049165730488178495,-0.004948920557031669,-0.027516339271845373,0.06210911587527452,0.004188484249941543,0.018407153811786828,0.01902284160883987,-0.01562894566134057,-0.034655014359548764,-0.020942629888993272,-0.008971754308649427,0.010972292076446271,,0.013861833252844024,0.18006592110610112,-0.0008000081104911535,0.004330018070706357,0.0210725137004545,0.014923684050965925,0.13728565726886527,0.09325263724380896,0.13464893232128827,-0.11690516355435102,0.14237477452664352,-0.019269904547831385,-0.005219373005111706,0.011655762865682647,0.06144260348261666,0.1135442180114595,0.06292716692707544,0.0587890010831373,0.0790637551614451,0.031267985488724906,0.08633015201063914,-0.05447433899475165,-0.03630710731870574,0.11639133117003901,-0.005854634276173274,-0.007133540639797041,0.03592068004612562,0.03816388670258152,-0.005762871043284995,-0.05207479542416345,-0.012039624659398406,0.0026213760810274945,0.0015962178903964903,0.002886169419643521,0.0002202302945350438,-0.03012197726625529,0.10851180251597824,0.1586877148952386,0.07018324731025585,0.04816377258924415,0.145656079259869,0.11710850873046885,0.08858282147547572,0.1612553170929667,0.18251935949446754,-0.002380304684235603,0.0013421712204428017,-0.011988559582226973,0.04461571081606125,0.06635189373273555,0.10376339064941928,-0.016589417717870696,-0.021703252432366035,0.031272520352872216,0.1864160941526659,0.03499337778723825,0.2136928548733623,0.10509184475748586,0.008068597153075932,0.008068597153075932,0.11574480418735368,0.083392508345808,0.07056762627759736,-0.014003704634673472,0.08311225922786479,0.0498008174818562,0.01612866166397469,0.037418348192990884,0.032161728830488484,,0.00917635213189165,,0.003024957715767611,0.003590434942329538,-0.00012685886130422543,-0.002316572153912594,0.008322783544870855,0.006955814069748579,0.0016633687930271489,-0.01782643994776355,-0.01714499981933807,-0.014850363382937467,-0.023695508068472756,-0.0053493526511372335,-0.00040221080734701434,-0.01234340495685049,-0.008341246622575113,-0.006003011616187378,0.0007574468117556299,-0.008731508361238835,-0.009120098388000899,-0.01791314359885335,0.036566358071436385
delinq_2yrs,-0.022898291915075714,,-0.008218882719935532,-0.008214856154908554,-0.008264438169533457,0.05378161356305741,0.004765638201126691,0.03717920836110788,-0.015120058898802179,1.0,-0.1759474562665268,-0.17594446898887825,0.026135531572379037,-0.4747567501120079,-0.029488150416514144,0.04744908121337811,-0.01804046388463761,-0.025018359501233246,0.0008384522779882787,0.11689540607760286,-0.031767983605187844,-0.03178332803261184,0.015539237713026812,0.015506852781496211,0.007215192973011505,0.029649231073101853,0.03813128704187997,0.018021297576370148,0.018817528563351088,-0.006912814151954561,-0.09621184560580431,-0.05609416752154278,0.05915068858583654,-0.34818532492268583,,0.010263075386069171,-0.007387157157417175,0.10807710445305993,0.0022607175653800455,0.05944520402339437,-0.0009475674561489373,0.03830088403382237,-0.015576511113604304,-0.024774429161962052,0.011507325366034642,0.033928315809896505,-0.013123181886877715,-0.016207925894464365,-0.03601913626125862,-0.030129609089687436,0.013875298852869554,-0.046830843503177635,0.003759770623892502,0.008262453613986752,0.01638087180564643,-0.05254467478631388,0.047096672104051475,-0.055160228081479024,0.0007660595027624081,0.14613328919783436,0.0347174798869474,0.08108559576404892,0.08330039542922507,0.027962255344850185,0.019066991240195456,0.07694432261029961,0.049499825211253776,-0.32959857141035215,-0.024206855761381714,-0.38143762783163926,0.22561544439864428,-0.039224833390689634,-0.0009019211196954519,-0.030342550463225506,0.037025820707625175,0.07596602628458572,0.010588826238903922,0.08191788437025119,-0.004385779383589949,0.045324672107065214,0.0403091509328388,0.08751222787367582,0.6619034749366888,-0.025037119765117622,-0.44745774745513955,-0.006157598392081998,-0.05090771560096425,0.013218671998829687,0.05996296438613729,0.030969584186072922,-0.07160184604894283,0.0590819285716247,-0.011334425953177418,-0.022749837913454658,-0.022749837913454658,-0.004375727592465952,0.003403130119641813,-0.005055529590692731,0.0031513785013003296,-0.005775835079507211,0.003730214364054331,0.001100445058886417,0.003547291346045467,-0.017731567385319225,,0.0028939225727986667,,-0.003164083777718886,0.0038657461795775787,0.00423771293121293,0.005571732505522485,0.003129832470347738,0.008398069164506566,-0.0007450736288830629,-0.01521103419401327,-0.015084138489522714,-0.0138704416468901,-0.014075640610368822,0.002669400199246898,-0.004892968654610242,-0.01407411438694299,-0.009071817538303587,-0.009368587017061962,0.0035039930036664764,-0.009827453965783028,-0.00958110873659308,-0.01357807129715791,0.021271061098449683
