Dataset,Model,Variant,AUC,AUC_Improvement,Brier_Score,Brier_Improvement,ECE,ECE_Improvement,PR_AUC,PR_AUC_Improvement,Lift_10,Lift_10_Improvement,Top_10_Capture_Rate,Baseline_Rate,Gain_20%,Gain_30%,Gain_40%,Gain_50%
5%_default,RandomForest,Traditional,0.5892,0.0,0.2105989869606756,0.0,0.3680921578443746,0.0,0.37386107665484297,0.0,4.608006672226855,0.0,0.221,0.04796,0.1475,0.11553333333333334,0.0971,0.084
5%_default,RandomForest,Sentiment,0.5955,0.0064,0.2100624725828361,-0.00064,0.36669534342187804,-0.00032,0.3865735194086347,0.00128,4.701195219123505,0.0064,0.236,0.0502,0.1534,0.1214,0.10175,0.08972
5%_default,RandomForest,Hybrid,0.6047,0.0156,0.16830290949082383,-0.00156,0.3163101377040377,-0.00078,0.6173670731521596,0.00312,6.694577352472089,0.015600000000000001,0.3358,0.05016,0.2063,0.1504,0.1189,0.09784
5%_default,XGBoost,Traditional,0.5402,0.0,0.26559288440622497,0.0,0.4200521891310229,0.0,0.10438034795500804,0.0,1.8957915831663328,0.0,0.0946,0.0499,0.0797,0.07086666666666666,0.0662,0.06332
5%_default,XGBoost,Sentiment,0.5649,0.0247,0.21104795888349523,-0.00247,0.3671430835071688,-0.001235,0.3653948825685439,0.00494,4.488636363636364,0.0247,0.2212,0.04928,0.1471,0.11653333333333334,0.0984,0.08616
5%_default,XGBoost,Hybrid,0.5796,0.0394,0.21077715322982973,-0.00394,0.366797820938423,-0.00197,0.36066933853884725,0.00788,4.467229593888219,0.0394,0.2222,0.04974,0.1467,0.11766666666666667,0.1008,0.08784
5%_default,LogisticRegression,Traditional,0.6306,0.0,0.1680176790727234,0.0,0.31494977663832635,0.0,0.630990744833729,0.0,6.812671098944075,0.0,0.3484,0.05114,0.2082,0.15146666666666667,0.12045,0.09948
5%_default,LogisticRegression,Sentiment,0.6287,-0.0019,0.16857347331201109,0.00019,0.31666751078627936,9.5e-05,0.6268507286244072,-0.00038,6.8027485852869845,-0.0019,0.3366,0.04948,0.2031,0.1488,0.11725,0.09584
5%_default,LogisticRegression,Hybrid,0.6327,0.0021,0.16843115005749962,-0.00020999999999999998,0.3152651367785819,-0.00010499999999999999,0.623600885097634,0.00041999999999999996,6.784466019417476,0.0021,0.3494,0.0515,0.2104,0.154,0.1217,0.09976
10%_default,RandomForest,Traditional,0.5807,0.0,0.20748795949432242,0.0,0.3315044190628304,0.0,0.46618088333953567,0.0,4.148850342880194,0.0,0.4114,0.09916,0.2804,0.2262,0.19405,0.17076
10%_default,RandomForest,Sentiment,0.6058,0.0251,0.1625512113526034,-0.00251,0.28741924083297743,-0.001255,0.716409189259632,0.00502,6.184754776442781,0.0251,0.628,0.10154,0.399,0.29873333333333335,0.23865,0.1974
10%_default,RandomForest,Hybrid,0.612,0.0313,0.1642840879344628,-0.00313,0.289020177719273,-0.001565,0.7098686046115783,0.00626,6.125592417061611,0.0313,0.6204,0.10128,0.3939,0.2952666666666667,0.2363,0.19604
10%_default,XGBoost,Traditional,0.5591,0.0,0.20644040684507636,0.0,0.3293324687659801,0.0,0.4593830777149054,0.0,4.02555910543131,0.0,0.4032,0.10016,0.2843,0.23,0.1951,0.1724
10%_default,XGBoost,Sentiment,0.5753,0.0162,0.20753859751750636,-0.00162,0.33043810716928035,-0.00081,0.4639395990310335,0.00324,4.146924148914992,0.0162,0.4166,0.10046,0.2863,0.22766666666666666,0.19495,0.17212
10%_default,XGBoost,Hybrid,0.57,0.0109,0.20683705054255938,-0.00109,0.3302677224795035,-0.000545,0.4635841906950136,0.00218,4.197850318471338,0.0109,0.4218,0.10048,0.2871,0.231,0.1966,0.17416
10%_default,LogisticRegression,Traditional,0.6144,0.0,0.16428498547273312,0.0,0.28860029085836036,0.0,0.698926995600335,0.0,6.077766699900299,0.0,0.6096,0.1003,0.3877,0.2916666666666667,0.23375,0.19412
10%_default,LogisticRegression,Sentiment,0.6146,0.0001,0.16397871004388856,-1e-05,0.28868948453523113,-5e-06,0.709574143352398,2e-05,6.146661367249603,0.0001,0.6186,0.10064,0.391,0.2932666666666667,0.2347,0.19504
10%_default,LogisticRegression,Hybrid,0.6285,0.0141,0.16372225378688748,-0.0014099999999999998,0.2888954927600825,-0.0007049999999999999,0.709886316812961,0.0028199999999999996,6.1595510122269,0.0141,0.6146,0.09978,0.3875,0.29186666666666666,0.23305,0.19348
15%_default,RandomForest,Traditional,0.5786,0.0,0.20398697289687162,0.0,0.29596114659457207,0.0,0.5405441894131573,0.0,3.831700442893571,0.0,0.571,0.14902,0.4025,0.3293333333333333,0.2837,0.25264
15%_default,RandomForest,Sentiment,0.5869,0.0083,0.20243234497085247,-0.00083,0.2950425124315475,-0.000415,0.5483514244644973,0.00166,3.8314023172193368,0.0083,0.5754,0.15018,0.4127,0.33666666666666667,0.28985,0.25684
