feature,importance
sentiment_confidence,0.24133099010880238
sentiment_confidence,0.23750528241750085
sentiment_text_interaction,0.07292463310760694
sentiment_word_interaction,0.06613551473834882
text_length,0.061018880106641284
text_length,0.05929021903170494
sentiment_purpose_interaction,0.05171758732842611
sentiment_score,0.04997602291767755
sentiment_score,0.049692143512964734
word_count,0.03386311667431649
word_count,0.03316580634049862
purpose,0.016778535543466845
has_positive_words,0.0076684461545071195
sentiment,0.007478298514223672
has_negative_words,0.005382215584588556
sentence_count,0.0021499643895246663
sentence_count,0.002097828923661653
has_financial_terms,0.0018245146055386199
