threshold,precision,recall,f1,specificity,npv,tp,fp,tn,fn,threshold_type,Regime,Feature_Set
0.05,0.172303168025665,0.8061288305190745,0.283920704845815,0.2629448875133913,0.8769352917824533,1289,6192,2209,310,Youden,5%,Sentiment
0.1,0.1723610402855686,0.6341463414634146,0.27105052125100243,0.42042613974526843,0.8579062424095215,1014,4869,3532,585,Fixed,5%,Sentiment
0.2,0.16847995026422133,0.3389618511569731,0.22508305647840532,0.6815855255326747,0.8441692466460269,542,2675,5726,1057,Fixed,5%,Sentiment
0.27,0.16216216216216217,0.20637898686679174,0.18161805173362686,0.7970479704797048,0.8406779661016949,330,1705,6696,1269,Top_20%,5%,Sentiment
0.3,0.1706875753920386,0.17698561601000626,0.1737795517347252,0.8363290084513748,0.842244066171182,283,1375,7026,1316,Fixed,5%,Sentiment
0.39,0.16221562809099901,0.10256410256410256,0.12567049808429118,0.8991786692060469,0.8403604405384358,164,847,7554,1435,Top_10%,5%,Sentiment
0.4,0.162217659137577,0.09881175734834272,0.12281383598911776,0.9028687061064159,0.8403500997119433,158,816,7585,1441,Fixed,5%,Sentiment
0.5,0.1546218487394958,0.05753595997498437,0.08386508659981769,0.940126175455303,0.839766081871345,92,503,7898,1507,Fixed,5%,Sentiment
0.53,0.1488095238095238,0.04690431519699812,0.07132667617689016,0.9489346506368289,0.8395113732097725,75,429,7972,1524,Top_5%,5%,Sentiment
0.6,0.13758389261744966,0.02564102564102564,0.04322614654717976,0.969408403761457,0.839414553700268,41,257,8144,1558,Fixed,5%,Sentiment
0.7,0.11702127659574468,0.0068792995622263915,0.01299468399291199,0.990120223782883,0.8396931152836664,11,83,8318,1588,Fixed,5%,Sentiment
0.8,0.14285714285714285,0.0025015634771732333,0.004917025199754148,0.997143197238424,0.8400521460088247,4,24,8377,1595,Fixed,5%,Sentiment
0.9,0.0,0.0,0.0,0.999285799309606,0.8400040024014409,0,6,8395,1599,Fixed,5%,Sentiment
0.1,0.17414847161572053,0.6235146966854284,0.2722555980338613,0.43720985596952744,0.8591812865497076,997,4728,3673,602,Fixed,5%,Hybrid
0.11,0.17517443995593096,0.5966228893058161,0.2708303761533002,0.4653017497916915,0.8583662714097496,954,4492,3909,645,Youden,5%,Hybrid
0.2,0.17244582043343654,0.34834271419637275,0.2306895837647546,0.6818235924294727,0.8460856720827179,557,2673,5728,1042,Fixed,5%,Hybrid
0.27,0.17128953771289537,0.22013758599124453,0.1926655719759168,0.7972860373765028,0.8430459408432976,352,1703,6698,1247,Top_20%,5%,Hybrid
0.3,0.17245438493231313,0.18323952470293933,0.17768344451182536,0.8326389715510059,0.8426695578845922,293,1406,6995,1306,Fixed,5%,Hybrid
0.4,0.16923076923076924,0.11006879299562226,0.13338385752178855,0.8971551005832639,0.8411830357142858,176,864,7537,1423,Top_10%,5%,Hybrid
0.5,0.16422287390029325,0.07004377736085053,0.09820254274441034,0.9321509344125699,0.8404163983687487,112,570,7831,1487,Fixed,5%,Hybrid
0.54,0.15630885122410546,0.05190744215134459,0.07793427230046948,0.946673015117248,0.8398986165381772,83,448,7953,1516,Top_5%,5%,Hybrid
0.6,0.14492753623188406,0.031269543464665414,0.051440329218107,0.9648851327222949,0.8395649922320041,50,295,8106,1549,Fixed,5%,Hybrid
0.7,0.12149532710280374,0.008130081300813009,0.015240328253223915,0.988810855850494,0.8396846254927727,13,94,8307,1586,Fixed,5%,Hybrid
0.8,0.08571428571428572,0.001876172607879925,0.0036719706242350062,0.996190929651232,0.8398394380331159,3,32,8369,1596,Fixed,5%,Hybrid
0.9,0.0,0.0,0.0,0.999642899654803,0.8400520156046815,0,3,8398,1599,Fixed,5%,Hybrid
0.04,0.21405287939152481,0.8729689807976366,0.343804537521815,0.18308445225247835,0.8497379149679674,1773,6510,1459,258,Youden,10%,Sentiment
0.1,0.21501457725947523,0.7262432299359921,0.3317961984028793,0.3242564939139164,0.8229299363057325,1475,5385,2584,556,Fixed,10%,Sentiment
0.2,0.21464813589234502,0.4790743476120138,0.2964655697745277,0.5532689170535826,0.8064752149259191,973,3560,4409,1058,Fixed,10%,Sentiment
0.3,0.2137553731926534,0.2693254554406696,0.2383442265795207,0.7475216463797214,0.8005644402634055,547,2012,5957,1484,Fixed,10%,Sentiment
0.34,0.2092216162617749,0.20777941900541605,0.208498023715415,0.7998494164888945,0.7984466992358762,422,1595,6374,1609,Top_20%,10%,Sentiment
0.4,0.1970209884901828,0.1432791728212703,0.16590649942987457,0.8511732965240306,0.7958465329109469,291,1186,6783,1740,Fixed,10%,Sentiment
0.47,0.18992248062015504,0.0965041851304776,0.12797910545217106,0.8950934872631446,0.7953835860838537,196,836,7133,1835,Top_10%,10%,Sentiment
0.5,0.1857304643261608,0.08074839980305268,0.11256005490734386,0.9097753795959342,0.7952177251288801,164,719,7250,1867,Fixed,10%,Sentiment
