Dataset,Model,Variant,AUC,AUC_Improvement,Default_Rate,Sample_Size,Brier_Score,Brier_Improvement,ECE,ECE_Improvement,Lift_10,Lift_20,Lift_Improvement,Top_10_Capture_Rate,Top_20_Capture_Rate,Baseline_Rate,Gain_20%,Gain_30%,Gain_40%,Gain_50%,Profit_10%,Profit_20%,Profit_30%,Profit_Improvement,Marginal_Defaults_Per_100k,Marginal_Defaults_Improvement,Top_Decile_Defaults,Expected_Random_Defaults
5%_default,RandomForest,Traditional,0.5892,0.0,0.05,50000,0.21071906713499247,0.0,0.36667897963342266,0.0,4.49496981891348,2.981891348088531,0.0,0.2234,0.1482,0.0497,0.1482,0.11673333333333333,0.09975,0.08752,-728700,-630200,-426100,0.0,1737.0,0.0,1117,248.5
5%_default,RandomForest,Sentiment,0.5955,0.0064,0.05,50000,0.21210834690236802,-0.00064,0.36770887070231695,-0.00032,4.521042084168337,2.933867735470942,0.0064,0.2256,0.1464,0.0499,0.1464,0.11646666666666666,0.0994,0.08736,-740800,-610400,-421700,64.0,1757.0,3.2,1128,249.5
5%_default,RandomForest,Hybrid,0.6047,0.0156,0.05,50000,0.1673440425521203,-0.00156,0.3144340593355341,-0.00078,6.772053083528493,4.131537861046057,0.015600000000000001,0.347,0.2117,0.05124,0.2117,0.15453333333333333,0.12195,0.10004,-1408500,-1328700,-1049800,156.0,2957.6,7.8,1735,256.2
5%_default,XGBoost,Traditional,0.5402,0.0,0.05,50000,0.26610276437521996,0.0,0.42169447355921363,0.0,2.1740842851516344,1.7447814100039385,0.0,0.1104,0.0886,0.05078,0.0886,0.07713333333333333,0.0698,0.06676,-107200,25400,227300,0.0,596.2,0.0,552,253.9
5%_default,XGBoost,Sentiment,0.5649,0.0247,0.05,50000,0.21339156742906315,-0.00247,0.36939133761076604,-0.001235,4.4631410256410255,2.982772435897436,0.0247,0.2228,0.1489,0.04992,0.1489,0.1164,0.09945,0.087,-725400,-637900,-420600,247.0,1728.8,12.35,1114,249.6
5%_default,XGBoost,Hybrid,0.5796,0.0394,0.05,50000,0.21197374845979758,-0.00394,0.3682091702346734,-0.00197,4.2594859241126075,2.8988168094655244,0.0394,0.2088,0.1421,0.04902,0.1421,0.11406666666666666,0.09675,0.08552,-648400,-563100,-382100,393.99999999999994,1597.8,19.7,1044,245.1
5%_default,LogisticRegression,Traditional,0.6306,0.0,0.05,50000,0.16859323883523047,0.0,0.3159175687408832,0.0,6.6971383147853745,4.054054054054054,0.0,0.337,0.204,0.05032,0.204,0.14913333333333334,0.1187,0.09784,-1353500,-1244000,-960700,0.0,2866.8,0.0,1685,251.6
5%_default,LogisticRegression,Sentiment,0.6287,-0.0019,0.05,50000,0.16923790412447037,0.00019,0.31636821079441324,9.5e-05,6.7032106499608455,4.060297572435395,-0.0019,0.3424,0.2074,0.05108,0.2074,0.15326666666666666,0.12075,0.09936,-1383200,-1281400,-1028900,-19.0,2913.2,-0.95,1712,255.4
5%_default,LogisticRegression,Hybrid,0.6327,0.0021,0.05,50000,0.16803332106696514,-0.00020999999999999998,0.31571736387497534,-0.00010499999999999999,6.7518678725914265,4.113252064490759,0.0021,0.3434,0.2092,0.05086,0.2092,0.15306666666666666,0.12055,0.099,-1388700,-1301200,-1025600,20.999999999999996,2925.4,1.0499999999999998,1717,254.3
10%_default,RandomForest,Traditional,0.5807,0.0,0.1,50000,0.2075200733877387,0.0,0.3309914684359409,0.0,4.0659561632817205,2.79810979288156,0.0,0.4044,0.2783,0.09946,0.2783,0.2264,0.1948,0.17084,-1724200,-2061300,-2235600,0.0,3049.4,0.0,2022,497.3
10%_default,RandomForest,Sentiment,0.6058,0.0251,0.1,50000,0.165105709259904,-0.00251,0.2906621720537745,-0.001255,6.117431938236489,3.862251117431938,0.0251,0.6022,0.3802,0.09844,0.3802,0.28713333333333335,0.22955,0.19048,-2812100,-3182200,-3237700,251.0,5037.6,12.55,3011,492.2
10%_default,RandomForest,Hybrid,0.612,0.0313,0.1,50000,0.16371436330594877,-0.00313,0.28825041257067197,-0.001565,6.14373880151304,3.887119251443361,0.0313,0.6172,0.3905,0.10046,0.3905,0.293,0.23425,0.1942,-2894600,-3295500,-3334500,313.0,5167.4,15.65,3086,502.29999999999995
10%_default,XGBoost,Traditional,0.5591,0.0,0.1,50000,0.206938898236464,0.0,0.331809442403231,0.0,4.287706714484957,2.900976290097629,0.0,0.4304,0.2912,0.10038,0.2912,0.23333333333333334,0.19905,0.17396,-1867200,-2203200,-2350000,0.0,3300.2,0.0,2152,501.9
10%_default,XGBoost,Sentiment,0.5753,0.0162,0.1,50000,0.209743238397652,-0.00162,0.3326374345631059,-0.00081,4.164187983343248,2.8217330953797344,0.0162,0.42,0.2846,0.10086,0.2846,0.2298,0.1948,0.17196,-1810000,-2130600,-2291700,161.99999999999997,3191.4,8.1,2100,504.3
10%_default,XGBoost,Hybrid,0.57,0.0109,0.1,50000,0.2087181654247085,-0.00109,0.3321165265822818,-0.000545,4.060180541624875,2.793380140421264,0.0109,0.4048,0.2785,0.0997,0.2785,0.22486666666666666,0.19355,0.1714,-1726400,-2063500,-2210300,109.0,3051.0,5.45,2024,498.5
10%_default,LogisticRegression,Traditional,0.6144,0.0,0.1,50000,0.16335826884553242,0.0,0.2881838980908007,0.0,6.09741550695825,3.9015904572564617,0.0,0.6134,0.3925,0.1006,0.3925,0.2942,0.23555,0.19452,-2873700,-3317500,-3354300,0.0,5128.0,0.0,3067,503.0
10%_default,LogisticRegression,Sentiment,0.6146,0.0001,0.1,50000,0.16422166720538445,-1e-05,0.2887384541013858,-5e-06,6.086869894401275,3.8822474596533176,0.0001,0.611,0.3897,0.10038,0.3897,0.29306666666666664,0.23435,0.19444,-2860500,-3286700,-3335600,1.0,5106.2,0.05,3055,501.9
