# DAY 1 SPRINT RESULTS: STRATIFIED K-FOLD CV + BOOTSTRAP CIs
# AUC: Area Under ROC Curve (0.5 = random, 1.0 = perfect)
# PR_AUC: Area Under Precision-Recall Curve (better for imbalanced data)
# Brier_Score: Mean squared error of probability predictions (0 = perfect, 1 = worst)
# Precision: True Positives / (True Positives + False Positives)
# Recall: True Positives / (True Positives + False Negatives)
# F1_Score: Harmonic mean of precision and recall
# Bootstrap_CI: 95% confidence interval from 1000 bootstrap resamples
# CV_Folds: 5-fold stratified cross-validation
# Statistical_Testing: DeLong tests and paired bootstrap tests pending for Day 2
# Generated: 2025-08-14T21:00:13.744875
# Statistical testing pending - DeLong tests scheduled for Day 2
# Bootstrap CIs: 95% confidence intervals from 1000 resamples
# CV Folds: 5-fold stratified cross-validation
Regime,Feature_Set,Model,Default_Rate,Sample_Size,Positives,Negatives,AUC_Mean,AUC_Std,AUC_CI_Lower,AUC_CI_Upper,PR_AUC_Mean,PR_AUC_Std,PR_AUC_CI_Lower,PR_AUC_CI_Upper,Brier_Mean,Brier_Std,Brier_CI_Lower,Brier_CI_Upper,Precision_Mean,Precision_Std,Precision_CI_Lower,Precision_CI_Upper,Recall_Mean,Recall_Std,Recall_CI_Lower,Recall_CI_Upper,F1_Mean,F1_Std,F1_CI_Lower,F1_CI_Upper,Feature_Count,CV_Folds,Bootstrap_Resamples
5%,Traditional,RandomForest,0.1599,10000,1599,8401,0.5320658819094074,0.019357921063170167,0.5170349660570337,0.5470692389390658,0.1688127524944128,0.008881350326785553,0.15819049685743025,0.17814115227415586,0.15876962,0.00288354079780398,0.15366390424999998,0.16368930550000002,0.15540868088994517,0.031834195012999444,0.13148360785555907,0.19207408588880057,0.060677899686520376,0.01691501340871634,0.05289582471772122,0.07844599807364178,0.08711199983989967,0.022515402991881827,0.07614734675041158,0.11097536430357562,9,5,1000
5%,Traditional,LogisticRegression,0.1599,10000,1599,8401,0.569986386351476,0.010687346183357236,0.5539999311717917,0.5844651354092406,0.18691307605772564,0.005516078551242887,0.17334520359174568,0.1976733069429215,0.13318486889160147,0.0004195256745924445,0.12811184103846615,0.137800420652228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,1000
5%,Sentiment,RandomForest,0.1599,10000,1599,8401,0.5320337056666314,0.013226651934702929,0.5170717441251111,0.5485552213341496,0.16811920955757045,0.007449426957726444,0.15756282812738556,0.17650471963257308,0.15785775999999999,0.0022420364621031507,0.15261656925,0.16293328725,0.15550858414157404,0.039670079289518115,0.12542372881355932,0.1835773439810707,0.055675940438871474,0.017905022401700943,0.04726521621905689,0.06852811645081203,0.08189735663254155,0.024914973406046603,0.06890136804635488,0.09965036383228602,15,5,1000
5%,Sentiment,LogisticRegression,0.1599,10000,1599,8401,0.5688384814090204,0.011075599797295351,0.5539534229461431,0.5827319012465115,0.18670060586697232,0.0061441336604251525,0.17351608368523821,0.19636279147928534,0.13323139954414737,0.00041679664273075337,0.12843234877993207,0.13806659660714876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,1000
5%,Hybrid,RandomForest,0.1599,10000,1599,8401,0.5349121048303194,0.017574900762660044,0.5196624549096862,0.5495901984056906,0.17083077961653226,0.008871650624806741,0.15943947818306703,0.17963661124421995,0.15875080000000003,0.003089368214862056,0.15359249475,0.16396889725,0.1634562573956685,0.04303834116726486,0.13537065752510222,0.19055814648233282,0.06631269592476488,0.020395255527635797,0.05715614541272176,0.08230815398380144,0.09420886856442649,0.027693868139809504,0.0808100480408168,0.11412764057160607,18,5,1000
5%,Hybrid,LogisticRegression,0.1599,10000,1599,8401,0.5673788063475039,0.010525890100524172,0.5528481588366484,0.5815323784157616,0.18557278628564752,0.005190743492798992,0.1726566655799816,0.19518846500830422,0.13328023100722491,0.00039382635646479335,0.12854398136536194,0.1381307545702839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1000
10%,Traditional,RandomForest,0.2031,10000,2031,7969,0.529508365528633,0.009120532276651857,0.5162821379718432,0.5423259852641646,0.20933901909335098,0.007340591171181845,0.1972289803558276,0.21864651965490206,0.19311545000000002,0.0030390613478506736,0.18746386525,0.19838399299999998,0.17977048741714236,0.034207317942827456,0.161217362090772,0.21090962305042765,0.08223090981711671,0.01829407987635894,0.07795098705945541,0.10164424514200299,0.11274615269646862,0.02383298647077974,0.10550345033518738,0.13587701730404467,9,5,1000
10%,Traditional,LogisticRegression,0.2031,10000,2031,7969,0.5650234297127563,0.008979981492203255,0.5496203216000505,0.5756844132597903,0.23443414480994135,0.008413391616358032,0.2179869980434668,0.24335419906694733,0.16040969887194603,0.00041655969116479504,0.15578122020298169,0.16462070462134426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,1000
10%,Sentiment,RandomForest,0.2031,10000,2031,7969,0.525758069319584,0.007903440619707257,0.512152960754744,0.5387652726473903,0.20916612379089794,0.005494842066885159,0.196875381487083,0.21757144154423524,0.1914603,0.0024368314605240937,0.1861880695,0.19635562075,0.1807289330329881,0.03753505029482491,0.16128850420045823,0.2114487267899049,0.07582817927645515,0.017177539950341245,0.06942236280761963,0.09329268233437749,0.1067689327774968,0.023404832765649794,0.09746042468597588,0.12909885505032595,15,5,1000
10%,Sentiment,LogisticRegression,0.2031,10000,2031,7969,0.5650805583711124,0.007242218297609104,0.5496042625391964,0.5771331268071831,0.23396088843860413,0.007942913321801647,0.2184206213586711,0.2435227674373173,0.16040949517973202,0.00038379927610771903,0.1554117191359334,0.16482558028181332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,1000
