fold,train_size,test_size,train_positives,test_positives,auc,pr_auc,brier,precision,recall,f1,Regime,Feature_Set,Model
1,8000,2000,1280,319,0.5628880032970374,0.1842789870949829,0.15499905,0.20300751879699247,0.08463949843260188,0.11946902654867257,5%,Traditional,RandomForest
2,8000,2000,1279,320,0.5424739583333333,0.17234008439159884,0.15720505,0.1796875,0.071875,0.10267857142857142,5%,Traditional,RandomForest
3,8000,2000,1279,320,0.5304278273809524,0.1661138811609748,0.1579442,0.11428571428571428,0.0375,0.05647058823529412,5%,Traditional,RandomForest
4,8000,2000,1279,320,0.5084709821428571,0.15950286816461742,0.1602295,0.13513513513513514,0.046875,0.06960556844547564,5%,Traditional,RandomForest
5,8000,2000,1279,320,0.5160686383928571,0.16182794165988987,0.1634703,0.14492753623188406,0.0625,0.08733624454148471,5%,Traditional,RandomForest
1,8000,2000,1280,319,0.5667939109240469,0.18185106048631336,0.13301839801736243,0.0,0.0,0.0,5%,Traditional,LogisticRegression
2,8000,2000,1279,320,0.5757589285714286,0.19298420639161581,0.13304069674928762,0.0,0.0,0.0,5%,Traditional,LogisticRegression
3,8000,2000,1279,320,0.5762927827380953,0.19324406748208278,0.13298918123326917,0.0,0.0,0.0,5%,Traditional,LogisticRegression
4,8000,2000,1279,320,0.5505710565476191,0.17987902564647204,0.13401467612998152,0.0,0.0,0.0,5%,Traditional,LogisticRegression
5,8000,2000,1279,320,0.5805152529761906,0.18660702028214426,0.13286139232810662,0.0,0.0,0.0,5%,Traditional,LogisticRegression
1,8000,2000,1280,319,0.554445872083157,0.18143521867918905,0.15495884999999998,0.20967741935483872,0.08150470219435736,0.11738148984198646,5%,Sentiment,RandomForest
2,8000,2000,1279,320,0.5388346354166668,0.1711895425212047,0.15667559999999997,0.18584070796460178,0.065625,0.09699769053117784,5%,Sentiment,RandomForest
3,8000,2000,1279,320,0.527514880952381,0.16185221493862595,0.15835939999999998,0.1,0.03125,0.047619047619047616,5%,Sentiment,RandomForest
4,8000,2000,1279,320,0.519038318452381,0.1634137592229078,0.15756485,0.125,0.040625,0.06132075471698113,5%,Sentiment,RandomForest
5,8000,2000,1279,320,0.5203348214285715,0.16270531242592468,0.1617301,0.15702479338842976,0.059375,0.08616780045351474,5%,Sentiment,RandomForest
