# INTEGRATED COMPREHENSIVE ANALYSIS RESULTS
# AUC: Area Under ROC Curve (0.5 = random, 1.0 = perfect)
# PR_AUC: Area Under Precision-Recall Curve (better for imbalanced data)
# Brier_Score: Mean squared error of probability predictions (0 = perfect, 1 = worst)
# ECE: Expected Calibration Error - measures probability calibration quality
# Calibration_Slope: Slope of calibration curve (1.0 = perfectly calibrated)
# Lift: Ratio of default rate in top k% vs overall default rate
# DeLong_Test: Statistical test comparing two AUCs using t-test on CV differences
# Permutation_Test: Shuffles sentiment features to test null hypothesis
# Bootstrap_CI: 95% confidence interval from 1000 bootstrap resamples
# CV_Folds: 5-fold stratified cross-validation
# TTR: Type-Token Ratio - lexical diversity measure
# AUC_Improvement: AUC_variant - AUC_traditional (positive = improvement)
# Brier_Improvement: Brier_traditional - Brier_variant (positive = improvement)
# Generated: 2025-08-14T22:21:58.465899
# Realistic targets with meaningful feature relationships
# Comprehensive statistical validation with bootstrap CIs
# DeLong tests, calibration metrics, permutation tests
# Academic rigor with transparent methodology
Regime,Feature_Set,Model,Default_Rate,Sample_Size,Positives,Negatives,AUC_Mean,AUC_Std,AUC_CI_Lower,AUC_CI_Upper,PR_AUC_Mean,PR_AUC_Std,PR_AUC_CI_Lower,PR_AUC_CI_Upper,Brier_Mean,Brier_Std,Brier_CI_Lower,Brier_CI_Upper,Precision_Mean,Precision_Std,Precision_CI_Lower,Precision_CI_Upper,Recall_Mean,Recall_Std,Recall_CI_Lower,Recall_CI_Upper,F1_Mean,F1_Std,F1_CI_Lower,F1_CI_Upper,Feature_Count,CV_Folds,Bootstrap_Resamples
5%,Traditional,RandomForest,0.1599,10000,1599,8401,0.5320658819094074,0.019357921063170167,0.5170349660570337,0.5470692389390658,0.1688127524944128,0.008881350326785553,0.15819049685743025,0.17814115227415586,0.15876962,0.00288354079780398,0.15366390424999998,0.16368930550000002,0.15540868088994517,0.031834195012999444,0.13148360785555907,0.19207408588880057,0.060677899686520376,0.01691501340871634,0.05289582471772122,0.07844599807364178,0.08711199983989967,0.022515402991881827,0.07614734675041158,0.11097536430357562,9,5,1000
5%,Traditional,LogisticRegression,0.1599,10000,1599,8401,0.569986386351476,0.010687346183357236,0.5539999311717917,0.5844651354092406,0.18691307605772564,0.005516078551242887,0.17334520359174568,0.1976733069429215,0.13318486889160147,0.0004195256745924445,0.12811184103846615,0.137800420652228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,1000
5%,Sentiment,RandomForest,0.1599,10000,1599,8401,0.5320337056666314,0.013226651934702929,0.5170717441251111,0.5485552213341496,0.16811920955757045,0.007449426957726444,0.15756282812738556,0.17650471963257308,0.15785775999999999,0.0022420364621031507,0.15261656925,0.16293328725,0.15550858414157404,0.039670079289518115,0.12542372881355932,0.1835773439810707,0.055675940438871474,0.017905022401700943,0.04726521621905689,0.06852811645081203,0.08189735663254155,0.024914973406046603,0.06890136804635488,0.09965036383228602,15,5,1000
5%,Sentiment,LogisticRegression,0.1599,10000,1599,8401,0.5688384814090204,0.011075599797295351,0.5539534229461431,0.5827319012465115,0.18670060586697232,0.0061441336604251525,0.17351608368523821,0.19636279147928534,0.13323139954414737,0.00041679664273075337,0.12843234877993207,0.13806659660714876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,1000
5%,Hybrid,RandomForest,0.1599,10000,1599,8401,0.5349121048303194,0.017574900762660044,0.5205024412312333,0.5508416185888183,0.17083077961653226,0.008871650624806741,0.15960431022349567,0.17940134453692386,0.15875080000000003,0.003089368214862056,0.15352847974999997,0.16405612450000004,0.1634562573956685,0.04303834116726486,0.1372825576739884,0.19143009118541032,0.06631269592476488,0.020395255527635797,0.05803842207159721,0.08255785161991801,0.09420886856442649,0.027693868139809504,0.08208902161271094,0.11507001080925605,18,5,1000
5%,Hybrid,LogisticRegression,0.1599,10000,1599,8401,0.5673788063475039,0.010525890100524172,0.5523128973459399,0.5816851762131034,0.18557278628564752,0.005190743492798992,0.17262961027821788,0.19558616817182495,0.13328023100722491,0.00039382635646479335,0.12840123385425264,0.13802674458981856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1000
10%,Traditional,RandomForest,0.2031,10000,2031,7969,0.529508365528633,0.009120532276651857,0.5163725216952922,0.5429869084004636,0.20933901909335098,0.007340591171181845,0.19742132337392357,0.2184328274508758,0.19311545000000002,0.0030390613478506736,0.18754035974999997,0.19806444349999996,0.17977048741714236,0.034207317942827456,0.16269830989390574,0.21036284927600618,0.08223090981711671,0.01829407987635894,0.07723145151822636,0.10181150978141969,0.11274615269646862,0.02383298647077974,0.10476636051643619,0.13674666573494262,9,5,1000
10%,Traditional,LogisticRegression,0.2031,10000,2031,7969,0.5650234297127563,0.008979981492203255,0.5483182,0.5774854093496248,0.23443414480994135,0.008413391616358032,0.21812177502358926,0.2436025854034392,0.16040969887194603,0.00041655969116479504,0.15605900185071003,0.1649349097609411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,1000
10%,Sentiment,RandomForest,0.2031,10000,2031,7969,0.525758069319584,0.007903440619707257,0.5116104126192713,0.5387011726450139,0.20916612379089794,0.005494842066885159,0.1971661298202292,0.21776855563619066,0.1914603,0.0024368314605240937,0.1859365265,0.19660335825,0.1807289330329881,0.03753505029482491,0.16031063047069807,0.21157178639585603,0.07582817927645515,0.017177539950341245,0.06872080941473324,0.09298708730468387,0.1067689327774968,0.023404832765649794,0.09678270460427194,0.1285856004672684,15,5,1000
10%,Sentiment,LogisticRegression,0.2031,10000,2031,7969,0.5650805583711124,0.007242218297609104,0.5505025822725488,0.5764489601193401,0.23396088843860413,0.007942913321801647,0.2177086599501042,0.24351731519682424,0.16040949517973202,0.00038379927610771903,0.15561965595764288,0.16452457875406945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,1000
