Regime,Model,Feature_Set,Traditional_AUC,Variant_AUC,AUC_Improvement,AUC_Improvement_Percent,PR_AUC_Improvement,Brier_Improvement,Statistical_p_value,T_statistic,Sample_Size
5%,RandomForest,Sentiment,0.5320658819094074,0.5320337056666314,-3.217624277596087e-05,-0.0060474170342385124,-0.0006935429368423451,0.0009118600000000143,1.993862408836379,-0.0030687955818105386,10000
5%,LogisticRegression,Sentiment,0.569986386351476,0.5688384814090204,-0.0011479049424556464,-0.20139164196595447,-0.00021247019075332219,-4.653065254589528e-05,1.6664590687712229,-0.1667704656143886,10000
5%,RandomForest,Hybrid,0.5320658819094074,0.5349121048303194,0.002846222920911967,0.5349380626883686,0.002018027122119459,1.8819999999974968e-05,1.5131660026823655,0.24341699865881722,10000
5%,LogisticRegression,Hybrid,0.569986386351476,0.5673788063475039,-0.0026075800039720987,-0.457481102428324,-0.0013402897720781182,-9.536211562344299e-05,1.222593567889267,-0.38870321605536645,10000
10%,RandomForest,Sentiment,0.529508365528633,0.525758069319584,-0.0037502962090489866,-0.7082600489805085,-0.00017289530245304108,0.0016551500000000219,0.6102791078385981,-0.694860446080701,10000
10%,LogisticRegression,Sentiment,0.5650234297127563,0.5650805583711124,5.712865835605374e-05,0.010110847683802512,-0.0004732563713372162,2.0369221401250748e-07,1.9778539310757473,0.011073034462126322,10000
10%,RandomForest,Hybrid,0.529508365528633,0.5294965688896172,-1.1796639015848598e-05,-0.002227847524952974,0.0007723631634298511,-6.629999999999137e-05,1.996677603688943,-0.001661198155528445,10000
10%,LogisticRegression,Hybrid,0.5650234297127563,0.5628103656968109,-0.002213064015945454,-0.39167650394082243,-0.0021960688381538196,-5.202354129721365e-05,1.0926656800629446,-0.4536671599685277,10000
15%,RandomForest,Sentiment,0.5199733905630315,0.5165723303521652,-0.00340106021086628,-0.6540835113088352,-0.0015215943574654611,0.0005903700000000067,0.9511062967290429,-0.5244468516354786,10000
15%,LogisticRegression,Sentiment,0.5572633513592941,0.5575162205660312,0.00025286920673717184,0.045376966943971,0.0001730593330454555,-5.829807540214116e-06,1.9298805475403105,0.03505972622984478,10000
15%,RandomForest,Hybrid,0.5199733905630315,0.5161898699819838,-0.0037835205810476946,-0.727637346393989,-0.0030982702472341916,-0.0015182999999999447,0.9699871003773255,-0.5150064498113373,10000
15%,LogisticRegression,Hybrid,0.5572633513592941,0.5576965291618996,0.0004331778026055444,0.07773305054942581,-0.0012423072348566877,-3.9619523458295225e-05,1.8783056954098298,0.06084715229508506,10000
