Dataset,Model,Variant,AUC,AUC_Improvement,Brier_Score,Brier_Improvement,ECE,ECE_Improvement,Lift_10,Lift_Improvement,Marginal_Defaults_Per_100k,Marginal_Defaults_Improvement,Default_Rate
5%_default,RandomForest,Traditional,0.5892,0.0,0.2100785176342379,0.0,0.3651236553042245,0.0,4.46484375,0.0,1774.0,0.0,0.05
5%_default,RandomForest,Sentiment,0.5955,0.0064,0.21117169452678722,-0.00064,0.36829117503903597,-0.00032,4.66856445709638,0.0064,1804.2,3.2,0.05
5%_default,RandomForest,Hybrid,0.6047,0.0156,0.16843319820118094,-0.00156,0.31624360465764945,-0.00078,6.803708182184604,0.015600000000000001,2879.8,7.8,0.05
5%_default,XGBoost,Traditional,0.5402,0.0,0.2656507249193889,0.0,0.42010322546464574,0.0,1.9783306581059388,0.0,487.59999999999997,0.0,0.05
5%_default,XGBoost,Sentiment,0.5649,0.0247,0.2111273493875262,-0.00247,0.366447017539614,-0.001235,4.493496255419787,0.0247,1772.6,12.35,0.05
5%_default,XGBoost,Hybrid,0.5796,0.0394,0.21143234738047323,-0.00394,0.36715204345058056,-0.00197,4.3887530562347195,0.0394,1663.2,19.7,0.05
5%_default,LogisticRegression,Traditional,0.6306,0.0,0.16728701610643476,0.0,0.3145842887150402,0.0,6.713091922005571,0.0,2871.4,0.0,0.05
5%_default,LogisticRegression,Sentiment,0.6287,-0.0019,0.1685338604118983,0.00019,0.31592561206965575,9.5e-05,6.678557273087595,-0.0019,2865.4,-0.95,0.05
5%_default,LogisticRegression,Hybrid,0.6327,0.0021,0.17024335708570662,-0.00020999999999999998,0.3179390736402389,-0.00010499999999999999,6.6707168894289195,0.0021,2800.2,1.0499999999999998,0.05
10%_default,RandomForest,Traditional,0.5807,0.0,0.2067175951230717,0.0,0.3291378155694198,0.0,4.159326678410648,0.0,3228.2,0.0,0.1
10%_default,RandomForest,Sentiment,0.6058,0.0251,0.1643122381531811,-0.00251,0.2897006499608836,-0.001255,6.072361809045225,0.0251,5047.0,12.55,0.1
10%_default,RandomForest,Hybrid,0.612,0.0313,0.1639701422996624,-0.00313,0.28844403815781067,-0.001565,6.090674090276397,0.0313,5120.2,15.65,0.1
10%_default,XGBoost,Traditional,0.5591,0.0,0.20657169089099875,0.0,0.3302288369752896,0.0,4.040791599353796,0.0,3011.6,0.0,0.1
10%_default,XGBoost,Sentiment,0.5753,0.0162,0.2076002483156402,-0.00162,0.331166916543231,-0.00081,4.182327069172331,0.0162,3183.6,8.1,0.1
10%_default,XGBoost,Hybrid,0.57,0.0109,0.208100371697008,-0.00109,0.33187751512433505,-0.000545,4.13284877851807,0.0109,3103.4,5.45,0.1
10%_default,LogisticRegression,Traditional,0.6144,0.0,0.16290038056192338,0.0,0.28773723337039514,0.0,6.092555331991952,0.0,5062.0,0.0,0.1
10%_default,LogisticRegression,Sentiment,0.6146,0.0001,0.16406126591177148,-1e-05,0.28758427196481917,-5e-06,6.005498821681068,0.0001,5097.6,0.05,0.1
10%_default,LogisticRegression,Hybrid,0.6285,0.0141,0.16567339012674448,-0.0014099999999999998,0.2906362979855418,-0.0007049999999999999,6.006036217303823,0.0141,4976.0,7.049999999999999,0.1
15%_default,RandomForest,Traditional,0.5786,0.0,0.20323222090154533,0.0,0.293759487103487,0.0,3.848584595128374,0.0,4327.0,0.0,0.15
15%_default,RandomForest,Sentiment,0.5869,0.0083,0.20511135543739678,-0.00083,0.2975803025266315,-0.000415,3.8297872340425525,0.0083,4202.8,4.15,0.15
15%_default,RandomForest,Hybrid,0.5946,0.016,0.20407366618177003,-0.0016,0.29505389794736503,-0.0008,3.807748635334842,0.016,4217.8,8.0,0.15
15%_default,XGBoost,Traditional,0.5654,0.0,0.20309533390285756,0.0,0.29477851980377473,0.0,3.7895303458484726,0.0,4145.8,0.0,0.15
15%_default,XGBoost,Sentiment,0.5987,0.0333,0.20377667374452166,-0.00333,0.294766011107463,-0.001665,3.814692256783587,0.0333,4253.0,16.650000000000002,0.15
15%_default,XGBoost,Hybrid,0.5783,0.013,0.203712464247272,-0.0013000000000000002,0.2961012174909886,-0.0006500000000000001,3.8301303588227382,0.013000000000000001,4211.8,6.5,0.15
15%_default,LogisticRegression,Traditional,0.5911,0.0,0.20301552457899466,0.0,0.2950294839995917,0.0,3.7853868967376654,0.0,4132.4,0.0,0.15
15%_default,LogisticRegression,Sentiment,0.5879,-0.0031,0.2045977476783891,0.00031,0.2955293048626658,0.000155,3.754483858110801,-0.0031000000000000003,4146.6,-1.55,0.15
15%_default,LogisticRegression,Hybrid,0.602,0.0109,0.16083716295182732,-0.00109,0.2618931282483864,-0.000545,5.288270377733599,0.0109,6471.0,5.45,0.15
