Feature,Average_AUC
word_count,0.5597236675949344
text_length,0.5577127992524351
sentence_length_std,0.5564981601367105
sentence_count,0.5564330465374614
type_token_ratio,0.5460535314799407
avg_sentence_length,0.5378228034686173
negative_word_density,0.5176946702366422
stability_medium,0.5174347807069622
financial_stress_medium,0.5132538203686129
sentiment_entity_interaction,0.512235192388517
sentiment_complexity_interaction,0.5110452332347015
repayment_confidence_count,0.5099253166350974
confidence_high,0.5061284600823569
confidence_medium,0.5054862050986713
stability_low,0.5049964076235005
confidence_low,0.5049964076235005
positive_word_density,0.5033889039502156
urgency_high,0.5021598890598268
urgency_present,0.49976024521169093
urgency_count,0.49976024521169093
