Dataset,Model,Variant,AUC,Brier,Default_Rate,Features,AUC_Improvement,Brier_Improvement
5%_default,RandomForest,Traditional,0.5891531827515399,0.084754208566108,0.0931098696461825,24,0.0,0.0
5%_default,RandomForest,Sentiment,0.5955283367556468,0.08484325884543761,0.0931098696461825,29,0.00637515400410682,-8.90502793296083e-05
5%_default,RandomForest,Hybrid,0.6047234086242299,0.08452677839851024,0.0931098696461825,32,0.015570225872689969,0.00022743016759776968
5%_default,XGBoost,Traditional,0.5402283367556469,0.08982789336264008,0.0931098696461825,24,0.0,0.0
5%_default,XGBoost,Sentiment,0.5649047227926078,0.08853863604749405,0.0931098696461825,29,0.024676386036960984,0.0012892573151460224
5%_default,XGBoost,Hybrid,0.5795794661190965,0.08840196237256091,0.0931098696461825,32,0.039351129363449644,0.0014259309900791634
5%_default,LogisticRegression,Traditional,0.6305622176591376,0.08269407167600451,0.0931098696461825,24,0.0,0.0
5%_default,LogisticRegression,Sentiment,0.6286706365503081,0.08271430948012476,0.0931098696461825,29,-0.0018915811088294765,-2.0237804120248892e-05
5%_default,LogisticRegression,Hybrid,0.6326529774127311,0.08281829889933869,0.0931098696461825,32,0.0020907597535935185,-0.00012422722333417513
10%_default,RandomForest,Traditional,0.5807325462012322,0.1414744122657581,0.17035775127768313,24,0.0,0.0
10%_default,RandomForest,Sentiment,0.6058024640657085,0.1394217206132879,0.17035775127768313,29,0.02506991786447632,0.002052691652470212
10%_default,RandomForest,Hybrid,0.6120164271047228,0.13932562180579217,0.17035775127768313,32,0.03128388090349066,0.002148790459965938
10%_default,XGBoost,Traditional,0.5590636550308008,0.14929686824596786,0.17035775127768313,24,0.0,0.0
10%_default,XGBoost,Sentiment,0.5752664271047228,0.14761510681045276,0.17035775127768313,29,0.016202772073921956,0.0016817614355151
10%_default,XGBoost,Hybrid,0.5699909650924024,0.14838204359814783,0.17035775127768313,32,0.010927310061601636,0.0009148246478200284
10%_default,LogisticRegression,Traditional,0.6144488706365503,0.13807947590785496,0.17035775127768313,24,0.0,0.0
10%_default,LogisticRegression,Sentiment,0.6145921971252567,0.13810188414969196,0.17035775127768313,29,0.00014332648870640785,-2.2408241836996412e-05
10%_default,LogisticRegression,Hybrid,0.6285186858316222,0.13738507362680266,0.17035775127768313,32,0.014069815195071889,0.0006944022810523032
15%_default,RandomForest,Traditional,0.5786175222450376,0.179122715855573,0.23547880690737832,24,0.0,0.0
15%_default,RandomForest,Sentiment,0.5869283367556469,0.17835704866562008,0.23547880690737832,29,0.008310814510609332,0.0007656671899529122
15%_default,RandomForest,Hybrid,0.5946158795345654,0.17746766091051805,0.23547880690737832,32,0.01599835728952781,0.00165505494505494
15%_default,XGBoost,Traditional,0.5653592060232717,0.1876539539025577,0.23547880690737832,24,0.0,0.0
15%_default,XGBoost,Sentiment,0.5986613278576318,0.18396795475511954,0.23547880690737832,29,0.0333021218343601,0.003685999147438168
15%_default,XGBoost,Hybrid,0.578322108145106,0.1873674461255655,0.23547880690737832,32,0.012962902121834263,0.00028650777699221197
15%_default,LogisticRegression,Traditional,0.5910678986995208,0.1762298614843209,0.23547880690737832,24,0.0,0.0
15%_default,LogisticRegression,Sentiment,0.5879445585215606,0.17646793470542185,0.23547880690737832,29,-0.003123340177960232,-0.00023807322110094842
15%_default,LogisticRegression,Hybrid,0.6020026009582478,0.17586649871847457,0.23547880690737832,32,0.010934702258726947,0.00036336276584633675
