loan_amnt,purpose,desc,sentiment,confidence
11200.0,debt_consolidation,"I've ended up with a few loans from different places, and with relatively poor interest rates in retrospect. I would like to have one convenient payment per month, and hopefully a better interest rate.  I am paying off a small personal loan, a bit of credit card balance, and a loan used to buy a Marimba One 5 octave marimba for my wife (a recent music graduate).   I have very good credit and steady income, I would just like to consolidate a few things.  Thanks for your consideration!",POSITIVE,1.0
28000.0,credit_card,  Borrower added on 10/29/13 > We have incurred a credit card loan over the past 10 yrs to Capital One.  The interest rate is high.  We want to pay the loan but not all the interest that Capital One charges.  We got into this debt helping my parents and brother.<br>,NEUTRAL,0.9489
9000.0,debt_consolidation," 385521 added on 10/17/09 > I plan to use this money to pay off credit cards and consolidate debt.  After this I will close my accounts.  I am a teacher with a stedy full time job and have always paid my bills on time and in full. 385521 added on 10/18/09 > With the money, I also plan on fixing my car so I am able to get back and forth to work.  And finally I plan on taking so college classes.",NEUTRAL,1.0
29100.0,debt_consolidation,  Borrower added on 08/15/12 > Credit Card Debt Consolidation Loan<br><br>  Borrower added on 08/19/12 > So glad I found Lending Club.  Thank you!<br>,NEUTRAL,0.9972
14000.0,debt_consolidation,  Borrower added on 04/30/13 > We plan on paying off credit cards with extremly high interest rates. We plan on then being able to pay off our debt much quicker.<br>,NEUTRAL,0.9985
24575.0,debt_consolidation,  Borrower added on 03/28/12 > To pay off credit cards and take my parents to see their neice graduate for high school in Utah.<br>,NEUTRAL,1.0
7975.0,debt_consolidation,"  Borrower added on 11/09/12 > Like many others, my APR's were raised by my credit card issuers (Citibank) through no fault of my own. Currently paying a 26% APR, so would love to pay that and my Discover card off in less than 3 years. Thanks!<br>",NEUTRAL,0.9996
20000.0,debt_consolidation,  Borrower added on 08/17/11 > I'm consolidating debt to save over $300 per month.<br/>,NEUTRAL,0.9998
12750.0,debt_consolidation,"  Borrower added on 05/27/11 > Household Bank  $2889.  19%  $100/mo<br/>BMW Bank          $7900    16%  $200/mo<br/>Credit One Bank  $ 1691   21%  $ 100/mo<br/>mortgage              129000   6%   $1607/mo<br/>food monthly   3-400 dollars<br/>auto fuel 175.00/mo<br/>utilities incl water, gas, electric, phone, cable, $ 425.00<br/>i have no lines of credit nor do i have student loans.  I have no car payment.<br/><br/>I plan to pay off household bank, bmw bank, credit one bank in full and some of lowes.<br/>Lowes                  $ 3800   27%   $ 200/mo<br/>",NEUTRAL,1.0
7000.0,home_improvement,  Borrower added on 03/08/13 > The loan is for much needed home improvements. As well as using what ever is left for savings.<br><br> Borrower added on 03/08/13 > Loan is for much needed home improvements<br>,NEUTRAL,1.0
9000.0,debt_consolidation,  Borrower added on 08/28/12 > I have 4 credit cards and a loan at the bank for a car. I would like to consolidate all this debt into one loan. I currently pay about $850 a month on all this debt. this loan would be much less per month.<br>,NEUTRAL,1.0
25000.0,major_purchase,  Borrower added on 09/02/13 > My loan is to purchase two lots of land with camper and consolidate my two of my credit cards<br>,NEUTRAL,1.0
10000.0,debt_consolidation,"  Borrower added on 07/01/13 > Debt consolidation, home improvement<br>",NEUTRAL,1.0
12000.0,credit_card,  Borrower added on 12/23/13 > I am just consolidating my credit cards and vacation money.<br>,NEUTRAL,1.0
10650.0,debt_consolidation,  Borrower added on 01/15/13 > Using the loan to consolidate credit cards.<br><br>  Borrower added on 01/15/13 > Using the loan to pay off high interest credit cards. And in turn use the extra money a month to take care of more important family matters.<br>,NEUTRAL,0.9999
35000.0,debt_consolidation,  Borrower added on 11/21/11 > This is a debt consolidation loan to pay-off outstanding credit card and revolving credit lines.<br>,NEUTRAL,1.0
20675.0,house,  Borrower added on 04/06/13 > The loan is for a home purchase<br>,NEUTRAL,1.0
