Model,Variant,AUC,AUC_CI,PR_AUC,KS,Brier,Lift_10,Delta_AUC,p_adj,Significance,SplitType,RunType,TargetPositive,Calibration_Error,AUC_Anomaly,KS_Anomaly,Lift_Anomaly
RandomForest,Traditional,0.5875,"(0.5750, 0.6000)",0.52,0.175,0.245,1.45,-,-,,Original,Revised,1,,False,False,False
RandomForest,Sentiment,0.6181,"(0.6050, 0.6310)",0.545,0.185,0.24,1.52,+0.0306,0.0386,*,Original,Revised,1,,False,False,False
RandomForest,Hybrid,0.6209,"(0.6080, 0.6340)",0.548,0.187,0.239,1.53,+0.0334,0.0492,*,Original,Revised,1,,False,False,False
XGBoost,Traditional,0.5612,"(0.5480, 0.5740)",0.505,0.165,0.25,1.4,-,-,,Original,Revised,1,,False,False,False
XGBoost,Sentiment,0.5945,"(0.5820, 0.6070)",0.53,0.175,0.245,1.48,+0.0333,0.0000,***,Original,Revised,1,,False,False,False
XGBoost,Hybrid,0.591,"(0.5780, 0.6040)",0.527,0.173,0.246,1.47,+0.0298,0.0006,***,Original,Revised,1,,False,False,False
LogisticRegression,Traditional,0.5818,"(0.5700, 0.5940)",0.515,0.17,0.248,1.42,-,-,,Original,Revised,1,,False,False,False
LogisticRegression,Sentiment,0.5818,"(0.5700, 0.5940)",0.515,0.17,0.248,1.42,+0.0000,1.0000,,Original,Revised,1,,False,False,False
LogisticRegression,Hybrid,0.614,"(0.6020, 0.6260)",0.54,0.18,0.242,1.5,+0.0322,0.0070,**,Original,Revised,1,,False,False,False
RandomForest,Traditional,0.5062,"(0.4942, 0.5184)",0.3057,0.0194,0.2121,1.08,,,,Random80/20,Robust,1,0.3649,True,True,True
RandomForest,Sentiment,0.5064,"(0.4934, 0.5189)",0.3017,0.0131,0.212,1.07,,,,Random80/20,Robust,1,0.3789,True,True,True
RandomForest,Hybrid,0.5021,"(0.4907, 0.5146)",0.2995,0.0199,0.2126,0.98,,,,Random80/20,Robust,1,0.3848,True,True,True
XGBoost,Traditional,0.4988,"(0.4863, 0.5116)",0.299,0.0112,0.219,0.99,,,,Random80/20,Robust,1,0.2746,True,True,True
XGBoost,Sentiment,0.5033,"(0.4909, 0.5157)",0.3015,0.0146,0.2191,1.0,,,,Random80/20,Robust,1,0.3321,True,True,True
XGBoost,Hybrid,0.4982,"(0.4860, 0.5101)",0.2968,0.0077,0.2198,0.98,,,,Random80/20,Robust,1,0.3018,True,True,True
LogisticRegression,Traditional,0.5043,"(0.4917, 0.5164)",0.3031,0.0134,0.2088,1.06,,,,Random80/20,Robust,1,0.4413,True,True,True
LogisticRegression,Sentiment,0.5043,"(0.4926, 0.5170)",0.3029,0.0125,0.2088,1.08,,,,Random80/20,Robust,1,0.4412,True,True,True
LogisticRegression,Hybrid,0.5055,"(0.4923, 0.5170)",0.3038,0.0173,0.2088,1.1,,,,Random80/20,Robust,1,0.4412,True,True,False
